Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Indonesia,IDN,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.105390072,6.978656292,8.987190247,11.97887611,12.15884876,19.21165848,24.12079239,28.22897911,29.7419014,31.21306992,52.53593826,61.1341629,56.91965485,52.87159348,46.2743454,41.27019119,41.82471085,39.78681183,,,
Ireland,IRL,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1417847,194.0045319,229.2307892,381.8796082,424.833374,533.5307617,577.1643066,561.4619751,666.2367554,696.0947266,707.5024414,773.7023926,727.6413574,760.9673462,756.6454468,604.6057129,603.1275635,611.2142334,,,
Israel,ISR,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.4269714,467.5611572,386.3414307,405.84021,422.7029724,465.059082,405.4163208,474.6305237,537.7830811,512.7398071,526.4812012,572.7778931,556.335022,600.0682983,641.7376709,593.9280396,637.8319702,699.7072144,,,
Italy,ITA,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.380188,388.0187378,423.2217102,511.8968811,584.7509155,578.2770386,603.3224487,664.5200195,744.7393799,686.9367676,660.5548096,746.1779785,677.625,695.4457397,706.1848755,626.7774048,627.2907715,667.0275879,,,
Japan,JPN,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.182373,391.4259338,384.1979065,446.1540833,477.052002,451.8781738,452.2895813,430.1481018,489.6662292,558.7391357,591.5842896,667.5185547,676.1275635,550.7466431,527.5880737,483.4237061,536.6588135,535.6195679,,,
"Korea, Rep.",KOR,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.8096466,202.2056274,213.5262604,253.4772644,277.5396118,340.1242676,387.6134949,444.9687195,432.5171814,385.9684143,472.8537292,525.7198486,550.899231,592.93396,655.2194824,655.1716309,680.5930786,768.6894531,,,
Luxembourg,LUX,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.4196167,424.273468,496.7973022,609.3466797,715.4848633,751.8814697,811.3172607,686.7261353,759.4614258,755.9849854,762.5360107,779.4789429,741.7563477,721.9221191,738.5758667,591.0210571,587.3892822,618.1364136,,,
"Macao SAR, China",MAC,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.7017517,189.0848999,203.979248,223.4642792,233.718338,257.7217102,269.3775635,284.9471741,270.4527893,226.1850739,246.0405731,241.4725494,247.4155121,255.2355957,238.1253662,217.7740173,192.2891998,204.2191467,,,
Monaco,MCO,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.93836975,99.55990601,106.890419,131.0974121,148.4380646,152.7653656,163.1138611,204.2295074,222.1742249,186.6209106,180.6967621,201.3353424,187.8132935,212.9349518,227.0513458,199.4059448,206.2781677,201.980484,,,
