Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,DNK,Adjusted net national income (current US$),,,,,,,,,,,14497956264,16141569138,19681993434,26567258166,28984054367,34455779272,38323255911,42964070073,52315491480,60338094750,59557377737,50708935788,49293029546,49570135693,48209238300,51064040091,72645097343,90171742014,94197452766,90527396819,1.11E+11,1.11E+11,1.23E+11,1.15E+11,1.26E+11,1.51E+11,1.53E+11,1.41E+11,1.45E+11,1.46E+11,1.32E+11,1.33E+11,1.44E+11,1.76E+11,2.05E+11,2.18E+11,2.35E+11,2.62E+11,2.87E+11,2.63E+11,2.66E+11,2.86E+11,2.73E+11,2.91E+11,3.03E+11,2.60E+11,2.68E+11,2.81E+11,3.05E+11,,
Finland,FIN,Adjusted net national income (current US$),,,,,,,,,,,9847791992,10754446563,12630566858,16610945574,21022901768,24639662464,26492034995,27467170459,29725795730,36883325690,44271350327,42918117077,43191050656,41494676550,43159888970,45618058023,60232655351,74631773053,88942842619,95465839032,1.11E+11,97472379820,84337292386,66433020399,78661160000,1.06E+11,1.05E+11,1.03E+11,1.09E+11,1.11E+11,1.04E+11,1.07E+11,1.16E+11,1.41E+11,1.64E+11,1.70E+11,1.81E+11,2.12E+11,2.34E+11,2.06E+11,2.05E+11,2.25E+11,2.09E+11,2.20E+11,2.24E+11,1.92E+11,1.97E+11,2.08E+11,2.26E+11,,
France,FRA,Adjusted net national income (current US$),,,,,,,,,,,1.31E+11,1.46E+11,1.78E+11,2.31E+11,2.47E+11,3.10E+11,3.20E+11,3.51E+11,4.37E+11,5.30E+11,6.02E+11,5.26E+11,4.96E+11,4.71E+11,4.46E+11,4.68E+11,6.59E+11,8.00E+11,8.73E+11,8.76E+11,1.08E+12,1.07E+12,1.19E+12,1.12E+12,1.18E+12,1.36E+12,1.37E+12,1.25E+12,1.30E+12,1.30E+12,1.18E+12,1.19E+12,1.28E+12,1.57E+12,1.81E+12,1.88E+12,1.98E+12,2.27E+12,2.48E+12,2.27E+12,2.23E+12,2.43E+12,2.26E+12,2.37E+12,2.40E+12,2.06E+12,2.08E+12,2.19E+12,2.33E+12,,
Germany,DEU,Adjusted net national income (current US$),,,,,,,,,,,1.89E+11,2.18E+11,2.61E+11,3.46E+11,3.84E+11,4.21E+11,4.47E+11,5.16E+11,6.38E+11,7.56E+11,8.09E+11,6.74E+11,6.51E+11,6.48E+11,6.12E+11,6.19E+11,8.85E+11,1.10E+12,1.19E+12,1.19E+12,1.51E+12,1.58E+12,1.80E+12,1.73E+12,1.84E+12,2.16E+12,2.08E+12,1.84E+12,1.86E+12,1.81E+12,1.60E+12,1.60E+12,1.69E+12,2.04E+12,2.34E+12,2.38E+12,2.53E+12,2.89E+12,3.11E+12,2.84E+12,2.85E+12,3.17E+12,2.97E+12,3.14E+12,3.26E+12,2.84E+12,2.94E+12,3.10E+12,3.34E+12,,
Greenland,GRL,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,25979117664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10243863182,10361323314,12674634719,14158272502,13994449600,16886552224,19992847555,20486139730,,
India,IND,Adjusted net national income (current US$),,,,,,,,,,,57767200038,62191494975,65898140378,79061849106,91426900557,89221225735,93340994416,1.10E+11,1.24E+11,1.37E+11,1.68E+11,1.73E+11,1.78E+11,1.94E+11,1.87E+11,2.04E+11,2.20E+11,2.46E+11,2.62E+11,2.59E+11,2.80E+11,2.35E+11,2.51E+11,2.43E+11,2.86E+11,3.14E+11,3.43E+11,3.64E+11,3.71E+11,4.05E+11,4.09E+11,4.24E+11,4.49E+11,5.30E+11,6.19E+11,7.13E+11,8.15E+11,1.05E+12,1.02E+12,1.17E+12,1.45E+12,1.57E+12,1.58E+12,1.60E+12,1.77E+12,1.84E+12,1.99E+12,2.32E+12,2.35E+12,,
Indonesia,IDN,Adjusted net national income (current US$),,,,,,,,,,,8371739161,8498568856,9739491789,14156358462,20237958930,24480354253,30227674979,36436525782,41514163388,34799309282,51901896762,66373983446,75812721742,66423744941,69036794317,70552411937,69055253314,63462232573,71926150729,78113111128,86467010063,99197383808,1.09E+11,1.38E+11,1.57E+11,1.79E+11,2.01E+11,1.91E+11,80876160714,1.16E+11,1.34E+11,1.16E+11,1.45E+11,1.72E+11,1.83E+11,2.00E+11,2.59E+11,3.06E+11,3.62E+11,3.99E+11,5.62E+11,6.57E+11,6.83E+11,6.81E+11,6.70E+11,6.56E+11,7.34E+11,7.96E+11,8.03E+11,,
Ireland,IRL,Adjusted net national income (current US$),,,,,,,,,,,4269082267,4936723725,6119612068,7173712592,7510455474,9097905701,8934849611,10455871537,13232985597,16402790040,19196003084,18308619162,18486235239,17581707060,16728449739,17472862757,23833908714,28169106323,31038528628,31768140600,40437921926,40809660442,45237011242,42603095699,46429287755,55257453785,61003522194,65705710562,70922666047,74852163993,75547358853,80591939044,92541970549,1.22E+11,1.43E+11,1.55E+11,1.70E+11,1.96E+11,2.00E+11,1.64E+11,1.54E+11,1.59E+11,1.49E+11,1.66E+11,1.80E+11,1.61E+11,1.74E+11,1.85E+11,2.05E+11,,
Israel,ISR,Adjusted net national income (current US$),,,,,,,,,,,6140509474,5909158983,7681179262,9833984460,14056752302,12930667136,12745951295,14554896395,13813685314,17792908371,19017823844,20355360282,22549428634,25283030460,22716765719,21197723277,26815124412,32855275159,41018123529,40827886191,48994240777,57176169038,64103332336,64103007991,72895888540,85238614159,92881612144,96326587679,97165880943,96097427017,1.06E+11,1.07E+11,98520021535,1.03E+11,1.11E+11,1.19E+11,1.30E+11,1.52E+11,1.80E+11,1.73E+11,1.98E+11,2.23E+11,2.15E+11,2.48E+11,2.67E+11,2.58E+11,2.74E+11,3.04E+11,3.21E+11,,
Italy,ITA,Adjusted net national income (current US$),,,,,,,,,,,1.01E+11,1.12E+11,1.30E+11,1.56E+11,1.75E+11,1.97E+11,1.95E+11,2.24E+11,2.75E+11,3.46E+11,4.14E+11,3.66E+11,3.62E+11,3.77E+11,3.73E+11,3.84E+11,5.44E+11,6.87E+11,7.62E+11,7.92E+11,1.00E+12,1.05E+12,1.11E+12,8.91E+11,9.19E+11,9.88E+11,1.11E+12,1.06E+12,1.08E+12,1.07E+12,9.70E+11,9.90E+11,1.07E+12,1.33E+12,1.52E+12,1.57E+12,1.65E+12,1.86E+12,1.98E+12,1.81E+12,1.75E+12,1.88E+12,1.70E+12,1.74E+12,1.76E+12,1.49E+12,1.55E+12,1.63E+12,1.74E+12,,
Japan,JPN,Adjusted net national income (current US$),,,,,,,,,,,1.76E+11,1.98E+11,2.61E+11,3.56E+11,3.96E+11,4.34E+11,4.91E+11,6.05E+11,8.54E+11,8.86E+11,9.23E+11,1.01E+12,9.38E+11,1.03E+12,1.09E+12,1.16E+12,1.71E+12,2.08E+12,2.53E+12,2.49E+12,2.55E+12,2.89E+12,3.12E+12,3.52E+12,3.87E+12,4.33E+12,3.86E+12,3.51E+12,3.18E+12,3.59E+12,3.86E+12,3.40E+12,3.24E+12,3.52E+12,3.84E+12,3.80E+12,3.62E+12,3.62E+12,3.97E+12,4.06E+12,4.49E+12,4.87E+12,4.93E+12,4.14E+12,3.91E+12,3.57E+12,3.99E+12,3.96E+12,4.03E+12,,
"Korea, Rep.",KOR,Adjusted net national income (current US$),,,,,,,,,,,,9319601727,10143651689,12850408173,18153423266,19936369474,27473062879,35285397939,48156483265,61325023589,58551227969,64819614863,69394423815,77555856694,86147016159,88304610827,1.02E+11,1.29E+11,1.75E+11,2.17E+11,2.49E+11,2.92E+11,3.10E+11,3.42E+11,4.04E+11,4.85E+11,5.18E+11,4.79E+11,3.09E+11,4.06E+11,4.74E+11,4.49E+11,5.19E+11,5.80E+11,6.55E+11,7.67E+11,8.68E+11,9.69E+11,8.55E+11,7.61E+11,9.36E+11,1.02E+12,1.04E+12,1.11E+12,1.20E+12,1.18E+12,1.22E+12,1.32E+12,1.39E+12,,
Luxembourg,LUX,Adjusted net national income (current US$),,,,,,,,,,,864025401,887512645.8,1159340239,1556821678,1995119348,2085705908,2440252233,2786211036,3489480711,4045607564,4504543595,3958147089,4040352589,4079451735,3940097159,4098515104,5863184787,7357032807,8201604203,8666624438,11214011370,12296087967,13613389489,13770713818,14699295945,17918761695,17914428739,16736894325,16607529438,17841609882,16442070538,16670421021,17508821561,21138216068,28168360091,30731933350,30347409775,39126689151,40180234271,28331400913,31940196273,34343207983,32449406539,34023681364,36301800412,30769948707,31478754661,33570170684,36591639297,,
"Macao SAR, China",MAC,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
